"date","weighted","close","high","low","open","volume"
"2021-02-28 01:02:00","53825156.87","53882556.27","53996829.36","53435263.55","53699957.23","14361090105.22"
"2021-02-28 02:02:00","53955047.05","54043292.84","54190135.09","53737246.03","53882556.27","161728095335.59"
"2021-02-28 03:02:00","54111755.62","54100936.29","54336831.96","53965518.83","54043292.84","24494768414.58"
"2021-02-28 04:02:00","54172611.9","54227876.16","54360193.44","54029969.67","54100936.29","9961801602.91"
"2021-02-28 05:02:00","54042356.22","53848907.52","54339711.92","53745452.36","54227876.16","10862513600.09"
"2021-02-28 06:02:00","53826994.38","53758101.15","54000846.08","53521302.1","53848907.52","12687560844.49"
"2021-02-28 07:02:00","53610795.66","53158239.55","53825546.79","53133235.94","53758101.15","125114194376.08"
"2021-02-28 08:02:00","52930008","53401437.57","53721271.05","52468589.26","53158239.55","41556407878.46"
"2021-02-28 09:02:00","53555207.02","53655580.94","53955304.72","52976475.94","53401437.57","24176427103.17"
"2021-02-28 10:02:00","53607688.75","53551387.43","53818466.11","53333604.92","53655580.94","17940885192.65"
"2021-02-28 11:02:00","52888197.42","52479728.94","53616190.89","52450811.21","53551387.43","45151183021.37"
"2021-02-28 12:02:00","52322178.49","51534400.61","52721537.59","51484694.54","52479728.94","65138496106.27"
"2021-02-28 13:02:00","51786906.74","51830060.02","52200538.8","51178590.38","51534400.61","35669267755.74"
"2021-02-28 14:02:00","52349279.51","52323218.63","52814448.26","51665413.37","51830060.02","28948104584.16"
"2021-02-28 15:02:00","51971532.31","51888748.24","52448947.78","51584948.27","52323218.63","39398579214.12"
"2021-02-28 16:02:00","51807541.95","51643586.79","52034841.85","51550258.67","51888748.24","23911252912.05"
"2021-02-28 17:02:00","51920495.78","51895754.24","52383297.17","51555575.1","51643586.79","26751516243.46"
"2021-02-28 18:02:00","52342756.48","52413251.11","52635840.68","51792484.08","51895754.24","24325772644.24"
"2021-02-28 19:02:00","52353809.46","52390891.43","52615642.49","52088763.93","52413251.11","17862072711.48"
"2021-02-28 20:02:00","52451033.81","52432787.94","52597541.32","52177676.48","52390891.43","16882414253.3"
"2021-02-28 21:02:00","52063372.83","51765465.65","52606772.55","51562444.07","52432787.94","25752106105.34"
"2021-02-28 22:02:00","51524779.51","51184539.27","51837997.21","51179590.51","51765465.65","25126573974.78"
"2021-02-28 23:02:00","50841484.93","51396321.42","51419395.2","50137988.75","51184539.27","39995470946.75"
"2021-02-28 24:02:00","50272216.76","49804092.55","51423234.31","49541637.68","51396321.42","46763216031.56"
"2021-03-01 01:03:00","50041194.38","50002158.11","50528982.32","49590327.76","49804092.55","33755287666.78"
"2021-03-01 02:03:00","49948451.16","49594640.95","50281924.35","49589718.46","50002158.11","22692080846.86"
"2021-03-01 03:03:00","49827037.85","49982685.6","50090139","49550130.74","49594640.95","15951129626.23"
"2021-03-01 04:03:00","50229650.71","50866089.67","50929286.52","49691532.51","49982685.6","18011850446.69"
"2021-03-01 05:03:00","50903099.53","51398531.62","51442675","50575685","50866089.67","21539646564.53"
"2021-03-01 06:03:00","51747312.74","51774700.48","51939035.83","51373530.83","51398531.62","28822735723.49"
"2021-03-01 07:03:00","51803297.06","51727786.62","52145190.4","51495273.34","51774700.48","20204321920.24"
"2021-03-01 08:03:00","52117321.56","51778606.65","52447619.53","51526585.46","51727786.62","98040499451.1"
"2021-03-01 09:03:00","52743067.39","53069774.21","53456417.57","51573722.27","51778606.65","39633777991.05"
"2021-03-01 10:03:00","53055771.59","52969097.99","53258146.25","52668840.49","53069774.21","66096880244.91"
"2021-03-01 11:03:00","53302741.55","53248371.56","53554692.77","52969097.99","52969097.99","22908452262.04"
"2021-03-01 12:03:00","53057942.37","53012374.58","53301557.82","52900969.45","53248371.56","97341162237.78"
"2021-03-01 13:03:00","52833592.02","52818887.88","53104883.91","52401591.47","53012374.58","151691054392.75"
"2021-03-01 14:03:00","52674759.36","52659025.93","52866876.45","52453495.15","52818887.88","12090437516.45"
"2021-03-01 15:03:00","52354900.2","52183006.83","52677354.81","51948263.27","52659025.93","16804875866.73"
"2021-03-01 16:03:00","52447755.43","52649662.54","52742231.22","52183006.83","52183006.83","15537123069.49"
"2021-03-01 17:03:00","53249842.93","53375993.27","53621959.6","52649662.54","52649662.54","31200680468.16"
"2021-03-01 18:03:00","53686315.31","53678339.79","54104470.87","53279439.3","53375993.27","28240075579.4"
"2021-03-01 19:03:00","53729149.91","54067765.76","54091485.7","53287760.05","53678339.79","20549250675.71"
"2021-03-01 20:03:00","54058696.72","54024215.57","54229717.07","53867154.16","54067765.76","26486599044.87"
"2021-03-01 21:03:00","54045544.76","54128581.98","54276284.14","53731051.34","54024215.57","22558069929.16"
"2021-03-01 22:03:00","54426562.23","54254763.68","54720004.7","54108825.73","54128581.98","25542929918.33"
"2021-03-01 23:03:00","54433227.14","54423128.35","54753653.35","53948860.23","54254763.68","23100917264.01"
"2021-03-01 24:03:00","55090619.44","55325602.16","55658230.99","54371466.97","54423128.35","34003032131.29"
"2021-03-02 01:03:00","55315987.93","55378365.77","55644481.69","54894961.18","55325602.16","30502342065.31"
"2021-03-02 02:03:00","55234699.31","54981906.93","55419881.77","54972711.52","55378365.77","15048693826.76"
