"date","weighted","close","high","low","open","volume"
"2021-02-07 01:02:00","43253945.83","42997552.77","43622699.8","42816698.84","43546722.88","29535956908.36"
"2021-02-07 02:02:00","42894773.73","42686276.46","43042871.76","42681814.16","42997552.77","17627607265.64"
"2021-02-07 03:02:00","42769217.67","42823825.26","42975002.68","42565667.81","42686276.46","22296448555.89"
"2021-02-07 04:02:00","42724543.87","42600614.21","42933247.66","42541183.31","42823825.26","13485575026.83"
"2021-02-07 05:02:00","42307447.83","42554981.04","42602651.57","42164479.56","42600614.21","22676368962.79"
"2021-02-07 06:02:00","42571404.8","42324111.35","42706611.61","42318672.78","42554981.04","12389130225.81"
"2021-02-07 07:02:00","42423751.16","42277606.01","42666111.17","42180380.38","42324111.35","17059438814.52"
"2021-02-07 08:02:00","41770500.4","41733148.33","42277606.01","41446548.12","42277606.01","38729190267.66"
"2021-02-07 09:02:00","41952018.4","42284832.73","42398048.29","41373765.38","41733148.33","29457029242.2"
"2021-02-07 10:02:00","41899121.6","41448704.52","42310620.99","41354482","42284832.73","29936084399.13"
"2021-02-07 11:02:00","41559946.65","41686574.76","41734236.23","41324447.55","41448704.52","24470080986.52"
"2021-02-07 12:02:00","41737960.64","41737866.77","41921018.11","41593276.72","41686574.76","14677153860"
"2021-02-07 13:02:00","41495685.34","41537359.05","41752399.34","41323054.3","41737866.77","18311216025.21"
"2021-02-07 14:02:00","41591173.18","41709901.77","41765721.73","41380429.63","41537359.05","15160398537.49"
"2021-02-07 15:02:00","41738233.92","41680001.75","41898149.22","41575633.6","41709901.77","13868362985.36"
"2021-02-07 16:02:00","41976383.49","42222420.02","42334250.09","41622235.03","41680001.75","17960435201.91"
"2021-02-07 17:02:00","42442935.85","42440346.57","42576679.2","42222420.02","42222420.02","19693097805.29"
"2021-02-07 18:02:00","42476315.82","42507749.71","42658485.55","42319061.87","42440346.57","12896234247.26"
"2021-02-07 19:02:00","42215364","42167452.72","42513926.37","42023526.3","42507749.71","16416710751.6"
"2021-02-07 20:02:00","42111979.52","42065570.04","42299010.61","41921692.97","42167452.72","14091089466.38"
"2021-02-07 21:02:00","41749608.01","41561896.17","42203567.04","41454283.46","42065570.04","21274347755.19"
"2021-02-07 22:02:00","41628746.4","41622460.51","41928757.66","41408671.37","41561896.17","21242732998.7"
"2021-02-07 23:02:00","41315349.54","41171833.85","41633254.56","41072901.16","41622460.51","24008349618.13"
"2021-02-07 24:02:00","41023528.22","41054417.98","41314584.21","40630694.06","41171833.85","25065375742.2"
"2021-02-08 01:02:00","41114046.97","41487189.65","41534036.7","40808977.77","41054417.98","21587341499.46"
"2021-02-08 02:02:00","41308079.22","41166038.61","41494381.84","41040495.88","41487189.65","11972733682.55"
"2021-02-08 03:02:00","41500224.95","41693853.19","41758281.99","41143778.18","41166038.61","17561650192.14"
"2021-02-08 04:02:00","41624414.07","41384102.54","41800752.28","41370576.18","41693853.19","10663758640.77"
"2021-02-08 05:02:00","41424609.29","41757147.82","41764290.07","41076388","41384102.54","8388897627.51"
"2021-02-08 06:02:00","41782391.69","41920215.73","41931991.08","41666077.19","41757147.82","8826948069.07"
"2021-02-08 07:02:00","42033982.08","42303595.35","42314244.11","41811303.17","41920215.73","13722413790.06"
"2021-02-08 08:02:00","42303345.68","42047074.61","42416148.18","42047074.61","42303595.35","18257700963.59"
"2021-02-08 09:02:00","42139165.09","41974083.04","42392224.79","41919853.12","42047074.61","20473313357.41"
"2021-02-08 10:02:00","42000770.7","41853957.58","42215380.97","41849975.06","41974083.04","15788089706.92"
"2021-02-08 11:02:00","41823551.9","41747447.73","41957919.58","41690360.99","41853957.58","15707253153.1"
"2021-02-08 12:02:00","41796362.67","41644141.82","41960533.5","41600699.8","41747447.73","18573049678.31"
"2021-02-08 13:02:00","41889118.23","41951014.2","42008711.33","41623766.52","41644141.82","21712386651.51"
"2021-02-08 14:02:00","42022315.08","41993604.84","42190794.49","41887209.04","41951014.2","19078971494"
"2021-02-08 15:02:00","42202559.04","42138066.34","42326566.03","41976631.95","41993604.84","19261669973.33"
"2021-02-08 16:02:00","42200780.57","42280246.16","42339560.48","41977883.63","42138066.34","12967877860.58"
"2021-02-08 17:02:00","42230763.66","42228887.99","42301832.39","42156506.25","42280246.16","12625731410.68"
"2021-02-08 18:02:00","42233772.3","42150868.63","42361716.81","42087420.87","42228887.99","13840007183.85"
"2021-02-08 19:02:00","42198246.11","42347708.47","42360580.13","42027508.7","42150868.63","13653664512.46"
"2021-02-08 20:02:00","42311677.21","42248318.1","42414277.6","42232338.81","42347708.47","15443762181.07"
"2021-02-08 21:02:00","43279207.1","45369575.59","45416217.03","42053929.97","42248318.1","34942333438.79"
"2021-02-08 22:02:00","45658737.56","45582650.13","47000047.18","44315184.97","45369575.59","83405272492.63"
"2021-02-08 23:02:00","45865001.85","45832762.62","46334094.64","45498925.15","45582650.13","50447374183.61"
"2021-02-08 24:02:00","45933194.6","46022004.11","46459559.22","45559232.72","45832762.62","44858357847.74"
"2021-02-09 01:02:00","45803119.85","45223439.85","46367172.77","45215101.59","46022004.11","38335379191.98"
"2021-02-09 02:02:00","45036818.87","45260899.5","45400485.28","44683382.71","45223439.85","24194679831.14"
"2021-02-09 03:02:00","45074668.2","44845637.21","45347590.68","44749740.56","45260899.5","16810146759.58"
"2021-02-09 04:02:00","45216973.32","45326331.85","45451985.03","44838963.08","44845637.21","12006462925.74"
"2021-02-09 05:02:00","45811024.18","46386352.75","46386357.43","45261635.6","45326331.85","21067115690.47"
"2021-02-09 06:02:00","46524304.12","46937775.89","47027514.67","46190311.28","46386352.75","30657190199.07"
"2021-02-09 07:02:00","47100563.82","47347296.64","47529354.17","46663126.59","46937775.89","41255854855.25"
"2021-02-09 08:02:00","48523900.77","49100539.6","49347238.35","47344475.82","47347296.64","70357229915.84"
"2021-02-09 09:02:00","49376292.9","49311648.71","49853078.72","48894430.71","49100539.6","54805216304.02"
"2021-02-09 10:02:00","48918289.69","48762619.51","49322275.7","48405251.7","49311648.71","43756431764.88"
"2021-02-09 11:02:00","48823183.72","48687191.65","49131548.1","48577093.29","48762619.51","31341066328.5"
"2021-02-09 12:02:00","49287764.46","49457662.65","49611605.24","48611232.42","48687191.65","34269289751.77"
"2021-02-09 13:02:00","49244449.24","49523977.37","49537828.38","48998762.99","49457662.65","30827517670.52"
"2021-02-09 14:02:00","49630251.47","49663561.97","49923126.82","49352773.85","49523977.37","28784056943.03"
"2021-02-09 15:02:00","50210601.81","50964510.13","50970328.57","49548974.61","49663561.97","40288986893.86"
"2021-02-09 16:02:00","50652707.28","50364427.53","50971831.08","50334913.41","50964510.13","31882333545.6"
"2021-02-09 17:02:00","49644305.21","49745731.82","50468435.98","49140027.85","50364427.53","39664310531.39"
"2021-02-09 18:02:00","49276181.35","49237347.44","49792314.23","48881525.64","49745731.82","30630567086.21"
"2021-02-09 19:02:00","49301229.45","49184531.32","49657703.67","48959979.73","49237347.44","25848634603.22"
"2021-02-09 20:02:00","49427576.12","49585216.43","49759218.92","49046351.21","49184531.32","20590539658.86"
"2021-02-09 21:02:00","49247665.61","48681135.47","49888032.62","48634927.4","49585216.43","27655026624.21"
"2021-02-09 22:02:00","48805806","49386590.14","49471310.63","48379574.71","48681135.47","33723347775.19"
"2021-02-09 23:02:00","49378848.02","49520849.55","49618787.09","49204596.25","49386590.14","19072580046.49"
"2021-02-09 24:02:00","49766264.63","49912531.91","50060737.83","49286253.43","49520849.55","25330531036.36"
"2021-02-10 01:02:00","49787818.51","49678701.92","50132362.1","49423952.16","49912531.91","26412437722.06"
"2021-02-10 02:02:00","49703904.37","49536805.54","50016192.6","49415896.37","49678701.92","18141925094.52"
"2021-02-10 03:02:00","49811903.38","49680446.52","50064159.34","49393951.91","49536805.54","14529135976.83"
"2021-02-10 04:02:00","49658784.7","49596347.36","49869718.45","49505780.58","49680446.52","9794202105.51"
"2021-02-10 05:02:00","49567464.45","49710281.79","49934676.47","49265959.62","49596347.36","15094284273.9"
"2021-02-10 06:02:00","49866857.21","49842897.83","50027403.67","49671649.68","49710281.79","14692770808.44"
"2021-02-10 07:02:00","49465046.57","49421392.34","49842897.83","49316116.39","49842897.83","16795361910.72"
"2021-02-10 08:02:00","48837461.16","48700481.07","49443771.7","48507421.02","49421392.34","27493048759.09"
"2021-02-10 09:02:00","48749995.94","48864625.55","49146466.61","48306387.42","48700481.07","31366234885.2"
"2021-02-10 10:02:00","48737307.63","48747759.42","48917628.9","48516477.16","48864625.55","25650445004.99"
"2021-02-10 11:02:00","48829781.69","48777630.16","49016084.18","48702027","48747759.42","26779228874.62"
"2021-02-10 12:02:00","48838253.14","48776262.42","48956661.06","48739661.68","48777630.16","21595298773.44"
"2021-02-10 13:02:00","48674698.67","48831435.37","48875669.45","48544199.32","48776262.42","22819672228.81"
"2021-02-10 14:02:00","48875234.48","48827529.05","49036014.4","48715453.61","48831435.37","19412265628.83"
"2021-02-10 15:02:00","48912329.37","48939316.27","49030441.66","48757724.66","48827529.05","8660906162.04"
"2021-02-10 16:02:00","48920599.3","48826312.68","49052306.18","48798646.19","48939316.27","13987866958.39"
"2021-02-10 17:02:00","48632754.68","48802468.9","48873374.16","48483651.89","48826312.68","24221543467.53"
"2021-02-10 18:02:00","48932430.69","49046329.67","49046635.06","48794916.54","48802468.9","16409979956.1"
"2021-02-10 19:02:00","49243772.04","49090691.32","49589639.41","48905802.9","49046329.67","22577284606.8"
"2021-02-10 20:02:00","49083972.81","49143318.09","49188005.23","48867946.46","49090691.32","16720455336.82"
"2021-02-10 21:02:00","48851666.87","48864239.91","49337368.27","48287219.56","49143318.09","33655867374.93"
"2021-02-10 22:02:00","48802889.52","48761902.08","48991457.08","48636262.88","48864239.91","22117469528.2"
"2021-02-10 23:02:00","48698542.83","48410412.15","48914670.51","48393624.17","48761902.08","25506348794.44"
"2021-02-10 24:02:00","48092986.37","47867556.05","48802843.75","47379700.55","48410412.15","38034819200.25"
"2021-02-11 01:02:00","47931707.48","48109410.06","48281332.99","47512221.86","47867556.05","23566582617.46"
"2021-02-11 02:02:00","48120674.35","48362761.33","48364482.92","47876409.57","48109410.06","11845385198.45"
"2021-02-11 03:02:00","48470154.31","48493039.3","48609339.01","48316607.41","48362761.33","10076945080.77"
"2021-02-11 04:02:00","48458093.12","48680207.94","48700313.2","48085570.6","48493039.3","11150207226.12"
"2021-02-11 05:02:00","48598771.01","48552123.68","48719600.96","48458396.28","48680207.94","10040506091.68"
"2021-02-11 06:02:00","48476277.72","48562009.99","48633393.25","48356663.84","48552123.68","8783901522.45"
"2021-02-11 07:02:00","48740950.17","48795434.82","48879653.52","48507179.52","48562009.99","12012207168.22"
"2021-02-11 08:02:00","48783151.89","48580804.92","48927781.49","48504314.27","48795434.82","18609308952.96"
"2021-02-11 09:02:00","48398501.83","48217570.22","48744919.55","48088704.25","48580804.92","31265916169.96"
"2021-02-11 10:02:00","48371186.2","48429117.14","48542500.42","48152888.03","48217570.22","18244644012.18"
"2021-02-11 11:02:00","48644691.04","48663934.16","48760886.93","48411861.55","48429117.14","15850872574.94"
"2021-02-11 12:02:00","48872537.77","49184094.46","49254979.77","48660753.3","48663934.16","18099455636.18"
"2021-02-11 13:02:00","48972590.95","48823347.93","49361507.58","48746967.99","49184094.46","16705040497.34"
"2021-02-11 14:02:00","48870837.89","48724443.63","49111994.68","48702185.13","48823347.93","13864656710.7"
"2021-02-11 15:02:00","48682671.67","48552603.55","48836391.95","48509946.63","48724443.63","13042087741.1"
"2021-02-11 16:02:00","48705261.32","48519622.56","48891524.52","48517709.81","48552603.55","14280382619.96"
"2021-02-11 17:02:00","48549902.34","48596983.54","48699566.03","48420784.16","48519622.56","16590472626.39"
"2021-02-11 18:02:00","48612711.43","48862447.63","48938348.95","48395867.96","48596983.54","17583703852.5"
"2021-02-11 19:02:00","49009878.05","49400494.02","49408944.71","48660480.38","48862447.63","22792043785.29"
"2021-02-11 20:02:00","49356071.41","49351988.97","49554436.64","49222406.15","49400494.02","27123629042.38"
"2021-02-11 21:02:00","49503259.18","49572013.83","49729395.2","49333444.46","49351988.97","25497148674.26"
"2021-02-11 22:02:00","50680479.66","50489296.32","51280774.25","49572013.83","49572013.83","58570416731.51"
"2021-02-11 23:02:00","50649365.2","50703500.51","50948043.56","50264872.35","50489296.32","34027763020.92"
"2021-02-11 24:02:00","50929126.74","51210729.52","51305445.79","50595639.1","50703500.51","28674626229.1"
"2021-02-12 01:02:00","51001630.82","50751784.88","51410833.25","50676702.46","51210729.52","28845502361.57"
"2021-02-12 02:02:00","50418334.78","50444295.07","50800663.1","50201754.17","50751784.88","19381312071.87"
"2021-02-12 03:02:00","50716238.38","50696490.02","50999004.34","50436125.73","50444295.07","13483926298.56"
"2021-02-12 04:02:00","51036147.05","51070574.87","51248412.97","50686506.5","50696490.02","16012591136.04"
"2021-02-12 05:02:00","51264008.43","50776530.19","51811141.13","50703859.73","51070574.87","28166496792.16"
"2021-02-12 06:02:00","50742757.88","50674778.12","50982194.6","50490017.54","50776530.19","19276158863.59"
"2021-02-12 07:02:00","50973629.67","51229464.28","51241576.25","50670798.37","50674778.12","17020094946.1"
"2021-02-12 08:02:00","51384442.12","51485657.59","51509363.47","51221596.74","51229464.28","20584607514.75"
"2021-02-12 09:02:00","51812162.11","51552684.65","52048716.53","51446985.46","51485657.59","36058156096.82"
"2021-02-12 10:02:00","51915624.24","52188875.65","52238923.84","51434156.2","51552684.65","20969758943.71"
"2021-02-12 11:02:00","52010233.4","52015979.11","52216270.68","51829527.19","52188875.65","26945461719.85"
"2021-02-12 12:02:00","51946386.16","51911779.94","52116802.2","51704433.08","52015979.11","19512101570.33"
"2021-02-12 13:02:00","51354764.61","51422723.65","51911779.94","50827810.85","51911779.94","32200464502.64"
"2021-02-12 14:02:00","51457350.23","51335954.37","51627526.83","51279853.81","51422723.65","16871835993.28"
"2021-02-12 15:02:00","51289231.81","51294698.82","51577646.27","50966612.51","51335954.37","20595191032"
"2021-02-12 16:02:00","51192219.12","51333484.5","51397844.43","51010815.72","51294698.82","17782129231.79"
"2021-02-12 17:02:00","51328684.99","51085024.22","51486505.56","51071550.08","51333484.5","18248374089.29"
"2021-02-12 18:02:00","51223942.87","51270672.95","51335324.18","51074289.28","51085024.22","17440728068.82"
"2021-02-12 19:02:00","51382021.53","51284678.22","51585507.29","51255656.84","51270672.95","14699882539.2"
"2021-02-12 20:02:00","51555758.7","51531773.9","51865820.8","51265636.5","51284678.22","19445285508.64"
"2021-02-12 21:02:00","51634863.6","51607864.18","51865949.26","51450467.78","51531773.9","15543126640.26"
"2021-02-12 22:02:00","51635215.82","51445346.91","51879309.11","51440232.48","51607864.18","18949607853.31"
"2021-02-12 23:02:00","50787349.93","50502541.9","51469407.94","50233232.79","51445346.91","37070702461.91"
"2021-02-12 24:02:00","50811668.41","50823797.22","50928466.45","50497282.94","50502541.9","23513607673.34"
"2021-02-13 01:02:00","51151424.09","51107216.65","51528903.2","50728752.38","50823797.22","24841177595.81"
"2021-02-13 02:02:00","51247149.43","51265311.66","51423459.94","51068516.98","51107216.65","14166249516.76"
"2021-02-13 03:02:00","50969070.76","50867264.36","51330950.66","50638882.22","51265311.66","14792243716.73"
"2021-02-13 04:02:00","50865222.5","50806659.31","50989917.76","50735557.31","50867264.36","7722866732.15"
"2021-02-13 05:02:00","50855129.5","51059204.43","51082598.47","50685423.77","50806659.31","10453780420.53"
"2021-02-13 06:02:00","51237325.12","51241392.44","51507199.94","51042055.08","51059204.43","12898996599.92"
"2021-02-13 07:02:00","51138181.91","51200213.53","51309538.53","51008593.13","51241392.44","11164487874.91"
"2021-02-13 08:02:00","50875851.62","50896348.04","51203991.97","50679748.58","51200213.53","20089347529.81"
"2021-02-13 09:02:00","50847356.59","50983814.11","51017632.89","50666850.44","50896348.04","23076564315.21"
"2021-02-13 10:02:00","51175803.17","51188521.61","51320000.57","50980112.17","50983814.11","17964753943.95"
"2021-02-13 11:02:00","51355423.61","51421354.54","51643470.72","51180187.1","51188521.61","20019884784.94"
"2021-02-13 12:02:00","51463074.41","51487335.63","51743697.47","51269914.34","51421354.54","19500388156.63"
"2021-02-13 13:02:00","51438002.28","51558512.49","51588741.31","51331654.18","51487335.63","13917065898.17"
"2021-02-13 14:02:00","51400279.43","51568881.82","51580337.48","51013394.04","51558512.49","21720216079.21"
"2021-02-13 15:02:00","51358533.79","51356974.6","51580699.31","51195351.89","51568881.82","15566258007.53"
"2021-02-13 16:02:00","51085555.57","50927654.75","51356974.6","50907561.3","51356974.6","24079687474.52"
"2021-02-13 17:02:00","50902066.3","51113034.71","51288557.45","50400587.8","50927654.75","26051677531.38"
"2021-02-13 18:02:00","51079465.02","51007498.23","51213398.93","50905775.32","51113034.71","14833987436.7"
