"date","weighted","close","high","low","open","volume"
"2021-02-05 01:02:00","39318471.39","39746171.91","39754008.89","39032974.29","39163379.81","59626855051.25"
"2021-02-05 05:02:00","39786239.13","39818144.87","39992909.49","39595094.56","39746171.91","53993507265.88"
"2021-02-05 09:02:00","39813397.17","39925465.01","40023169.51","39540593.49","39818144.87","75540347253.45"
"2021-02-05 13:02:00","39891733.41","40062111.05","40190161.53","39647979.16","39925465.01","67955966784.9"
"2021-02-05 17:02:00","39930824.49","39955931.94","40125166.14","39721593.37","40062111.05","63601018635.02"
"2021-02-05 21:02:00","40299815.91","40271459.67","40708446.7","39875192.75","39955931.94","95942577734.1"
"2021-02-06 01:02:00","40011383.43","40024860.46","40289389.08","39800399.26","40271459.67","54565924267.42"
"2021-02-06 05:02:00","40165213.19","40459477.91","40467272.86","39951771.42","40024860.46","46739455283.3"
"2021-02-06 09:02:00","41491070.57","41954019.13","42202578.47","40426659.4","40459477.91","138654859639.6"
"2021-02-06 13:02:00","42011645.44","42146518.69","42281193.11","41631429.18","41954019.13","68084912838.48"
"2021-02-06 17:02:00","42753233.74","43052406.23","43518561.76","42134071.19","42146518.69","118806961241.34"
"2021-02-06 21:02:00","43042248","43546722.88","43553228.39","42668820.5","43052406.23","95365695928.63"
"2021-02-07 01:02:00","42960071.56","42600614.21","43622699.8","42541183.31","43546722.88","82945587756.72"
"2021-02-07 05:02:00","42133880.07","41733148.33","42706611.61","41446548.12","42600614.21","90854128270.78"
"2021-02-07 09:02:00","41806111.16","41737866.77","42398048.29","41324447.55","41733148.33","98540348487.85"
"2021-02-07 13:02:00","41700722.73","42222420.02","42334250.09","41323054.3","41737866.77","65300412749.97"
"2021-02-07 17:02:00","42316112.56","42065570.04","42658485.55","41921692.97","42222420.02","63097132270.53"
"2021-02-07 21:02:00","41406798.55","41054417.98","42203567.04","40630694.06","42065570.04","91787278480.71"
"2021-02-08 01:02:00","41348549.79","41384102.54","41800752.28","40808977.77","41054417.98","61785484014.92"
"2021-02-08 05:02:00","41982523.3","42047074.61","42416148.18","41076388","41384102.54","49195960450.23"
"2021-02-08 09:02:00","41947163.49","41644141.82","42392224.79","41600699.8","42047074.61","70541705895.74"
"2021-02-08 13:02:00","42061522.41","42280246.16","42339560.48","41623766.52","41644141.82","73020905979.42"
"2021-02-08 17:02:00","42245968.6","42248318.1","42414277.6","42027508.7","42280246.16","55563165288.06"
"2021-02-08 21:02:00","45354486.55","46022004.11","47000047.18","42053929.97","42248318.1","214594753134.94"
"2021-02-09 01:02:00","45386266.22","45326331.85","46367172.77","44683382.71","46022004.11","91346668708.44"
"2021-02-09 05:02:00","47417290.04","49100539.6","49347238.35","45261635.6","45326331.85","163337390660.63"
"2021-02-09 09:02:00","49129024.33","49457662.65","49853078.72","48405251.7","49100539.6","164172004149.17"
