"","date","hours","low","high","volume"
"118","2021-02-01","19~20",37088686,37610550,28539824773
"119","2021-02-01","21~22",36501815,37147190,27847637209
"120","2021-02-01","23~24",36233461,36698314,24822759211
"121","2021-02-02","1~2",36467143,36949230,16536145741
"122","2021-02-02","3~4",36757059,37081156,9523367541
"123","2021-02-02","5~6",36529320,36811147,8431815488
"124","2021-02-02","7~8",36286614,36672466,16245705398
"125","2021-02-02","9~10",36355046,36712862,24045258192
"126","2021-02-02","11~12",36339308,36519852,17824724777
"127","2021-02-02","13~14",36478219,36803191,17047492843
"128","2021-02-02","15~16",36705222,37016099,19888554739
"129","2021-02-02","17~18",37028012,37685383,27882158494
"130","2021-02-02","19~20",37198990,37750349,20170686661
"131","2021-02-02","21~22",37191031,37552761,16209481228
"132","2021-02-02","23~24",37108422,37537145,14710938180
"133","2021-02-03","1~2",37235485,37474761,14870313512
"134","2021-02-03","3~4",37400775,37790521,9804644898
"135","2021-02-03","5~6",37684032,38052263,16175677952
"136","2021-02-03","7~8",37817167,38123455,16683190002
"137","2021-02-03","9~10",38004624,38689908,23484994033
"138","2021-02-03","11~12",38084096,38526744,20029293064
"139","2021-02-03","13~14",38585811,38872401,28096946763
"140","2021-02-03","15~16",38663016,39124752,21987612954
"141","2021-02-03","17~18",38240904,38629794,22849657759
"142","2021-02-03","19~20",38291567,38626863,13131641682
"143","2021-02-03","21~22",38272021,38738528,17333001355
"144","2021-02-03","23~24",38601657,39016133,16901476431
"145","2021-02-04","1~2",38570727,39083370,19991376509
"146","2021-02-04","3~4",38567714,38849938,13104013153
"147","2021-02-04","5~6",38862475,39238072,13131817795
"148","2021-02-04","7~8",39043296,39352592,13362759622
"149","2021-02-04","9~10",39548734,40159110,28921947806
"150","2021-02-04","11~12",39855758,40139367,20801312374
"151","2021-02-04","13~14",40064229,40317647,18723170814
"152","2021-02-04","15~16",40162893,40483687,18755449740
"153","2021-02-04","17~18",38979908,40581861,47150014407
"154","2021-02-04","19~20",39444243,40028353,21582707885
"155","2021-02-04","21~22",39488522,40016166,17230110233
"156","2021-02-04","23~24",39048119,39748163,22110597758
"157","2021-02-05","1~2",39056360,39447374,17690862004
"158","2021-02-05","3~4",39204865,39698031,12000363520
"159","2021-02-05","5~6",39627224,39990539,12488456352
"160","2021-02-05","7~8",39654344,39893114,14508297281
"161","2021-02-05","9~10",39649746,40001975,18557031360
"162","2021-02-05","11~12",39638901,39870893,19213142267
"163","2021-02-05","13~14",39717897,39930883,14420538267
"164","2021-02-05","15~16",39768719,40093565,19557445126
"165","2021-02-05","17~18",39836680,40074504,16280661265
"166","2021-02-05","19~20",39785201,39990874,15519848053
"167","2021-02-05","21~22",40005814,40595717,24913383162
"168","2021-02-05","23~24",40189599,40544404,22999779424
"169","2021-02-06","1~2",39937332,40187673,15958495467
"170","2021-02-06","3~4",39808718,40039440,11108444902
"171","2021-02-06","5~6",39953921,40141453,9707319591
"172","2021-02-06","7~8",40146028,40384543,13662408051
"173","2021-02-06","9~10",40642286,41567838,37116257323
"174","2021-02-06","11~12",41517095,42177032,32211172497
"175","2021-02-06","13~14",41708151,42077162,17719225637
"176","2021-02-06","15~16",41966836,42264775,16323230782
"177","2021-02-06","17~18",42144431,42536792,22446133350
"178","2021-02-06","19~20",42663612,43211591,36957347271
"179","2021-02-06","21~22",42670472,43110558,24000929661
"180","2021-02-06","23~24",42889272,43381483,23645820679
"181","2021-02-07","1~2",42749256,43332786,23581782087
"182","2021-02-07","3~4",42553426,42954125,17891011791
"183","2021-02-07","5~6",42241576,42654632,17532749594
"184","2021-02-07","7~8",41813464,42471859,27894314541
"185","2021-02-07","9~10",41364124,42354335,29696556821
"186","2021-02-07","11~12",41458862,41827627,19573617423
"187","2021-02-07","13~14",41351742,41759061,16735807281
"188","2021-02-07","15~16",41598934,42116200,15914399094
"189","2021-02-07","17~18",42270741,42617582,16294666026
"190","2021-02-07","19~20",41972610,42406468,15253900109
"191","2021-02-07","21~22",41431477,42066162,21258540377
"192","2021-02-07","23~24",40851798,41473919,24536862680
"193","2021-02-08","1~2",40924737,41514209,16780037591
"194","2021-02-08","3~4",41257177,41779517,14112704416
"195","2021-02-08","5~6",41371233,41848141,8607922848
"196","2021-02-08","7~8",41929189,42365196,15990057377
"197","2021-02-08","9~10",41884914,42303803,18130701532
"198","2021-02-08","11~12",41645530,41959227,17140151416
"199","2021-02-08","13~14",41755488,42099753,20395679073
"200","2021-02-08","15~16",41977258,42333063,16114773917
"201","2021-02-08","17~18",42121964,42331775,13232869297
"202","2021-02-08","19~20",42129924,42387429,14548713347
"203","2021-02-08","21~22",43184557,46208132,59173802966
"204","2021-02-08","23~24",45529079,46396827,47652866016
"205","2021-02-09","1~2",44949242,45883829,31265029512
"206","2021-02-09","3~4",44794352,45399788,14408304843
"207","2021-02-09","5~6",45725973,46706936,25862152945
"208","2021-02-09","7~8",47003801,48438296,55806542386
"209","2021-02-09","9~10",48649841,49587677,49280824034
"210","2021-02-09","11~12",48594163,49371577,32805178040
"211","2021-02-09","13~14",49175768,49730478,29805787307
"212","2021-02-09","15~16",49941944,50971080,36085660220
"213","2021-02-09","17~18",49010777,50130375,35147438809
"214","2021-02-09","19~20",49003165,49708461,23219587131
"215","2021-02-09","21~22",48507251,49679672,30689187200
"216","2021-02-09","23~24",49245425,49839762,22201555541
"217","2021-02-10","1~2",49419924,50074277,22277181408
"218","2021-02-10","3~4",49449866,49966939,12161669041
"219","2021-02-10","5~6",49468805,49981040,14893527541
"220","2021-02-10","7~8",48911769,49643335,22144205335
"221","2021-02-10","9~10",48411432,49032048,28508339945
"222","2021-02-10","11~12",48720844,48986373,24187263824
"223","2021-02-10","13~14",48629826,48955842,21115968929
"224","2021-02-10","15~16",48778185,49041374,11324386560
"225","2021-02-10","17~18",48639284,48960005,20315761712
"226","2021-02-10","19~20",48886875,49388822,19648869972
"227","2021-02-10","21~22",48461741,49164413,27886668452
"228","2021-02-10","23~24",47886662,48858757,31770583997
"229","2021-02-11","1~2",47694316,48322908,17705983908
"230","2021-02-11","3~4",48201089,48654826,10613576153
"231","2021-02-11","5~6",48407530,48676497,9412203807
"232","2021-02-11","7~8",48505747,48903718,15310758061
"233","2021-02-11","9~10",48120796,48643710,24755280091
"234","2021-02-11","11~12",48536307,49007933,16975164106
"235","2021-02-11","13~14",48724577,49236751,15284848604
"236","2021-02-11","15~16",48513828,48863958,13661235181
"237","2021-02-11","17~18",48408326,48818957,17087088239
"238","2021-02-11","19~20",48941443,49481691,24957836414
"239","2021-02-11","21~22",49452729,50505085,42033782703
"240","2021-02-11","23~24",50430256,51126745,31351194625
"241","2021-02-12","1~2",50439228,51105748,24113407217
"242","2021-02-12","3~4",50561316,51123709,14748258717
"243","2021-02-12","5~6",50596939,51396668,23721327828
"244","2021-02-12","7~8",50946198,51375470,18802351230
"245","2021-02-12","9~10",51440571,52143820,28513957520
"246","2021-02-12","11~12",51766980,52166536,23228781645
"247","2021-02-12","13~14",51053832,51769653,24536150248
"248","2021-02-12","15~16",50988714,51487745,19188660132
"249","2021-02-12","17~18",51072920,51410915,17844551079
"250","2021-02-12","19~20",51260647,51725664,17072584024
"251","2021-02-12","21~22",51445350,51872629,17246367247
"252","2021-02-12","23~24",50365258,51198937,30292155068
"253","2021-02-13","1~2",50898635,51476182,19503713556
"254","2021-02-13","3~4",50687220,51160434,11257555224
"255","2021-02-13","5~6",50863739,51294899,11676388510
"256","2021-02-13","7~8",50844171,51256765,15626917702
"257","2021-02-13","9~10",50823481,51168817,20520659130
"258","2021-02-13","11~12",51225051,51693584,19760136471
"259","2021-02-13","13~14",51172524,51584539,17818640989
"260","2021-02-13","15~16",51051457,51468837,19822972741
"261","2021-02-13","17~18",50653182,51250978,20442832484
"262","2021-02-13","19~20",50366419,51029258,29719907444
"263","2021-02-13","21~22",50392191,50988039,24892019364
"264","2021-02-13","23~24",50678296,51028586,20994817482
"265","2021-02-14","1~2",50458091,50814464,16749944317
"266","2021-02-14","3~4",50234309,50436401,12966589539
"267","2021-02-14","5~6",50268241,50584903,12989778120
"268","2021-02-14","7~8",50370504,50640242,15068052056
"269","2021-02-14","9~10",50556404,51225759,24004369542
"270","2021-02-14","11~12",50498731,50923165,17013771671
"271","2021-02-14","13~14",50870741,51809606,24235250822
"272","2021-02-14","15~16",52114283,52774614,33349853506
"273","2021-02-14","17~18",51832515,52520686,20746217647
"274","2021-02-14","19~20",52185320,52715245,23205353436
"275","2021-02-14","21~22",52258654,53037073,32357455620
"276","2021-02-14","23~24",51664253,52402243,26926830944
"277","2021-02-15","1~2",52185430,52549894,14050379454
"278","2021-02-15","3~4",52219042,52450326,6884373627
"279","2021-02-15","5~6",52307615,52570131,9106827572
"280","2021-02-15","7~8",52465338,52866970,15678676681
"281","2021-02-15","9~10",52480238,52978031,26104645059
"282","2021-02-15","11~12",50942080,52295252,39009661377
"283","2021-02-15","13~14",50954668,51578481,28753517083
"284","2021-02-15","15~16",51190180,51615305,18889486070
"285","2021-02-15","17~18",51728527,52066153,19094840840
"286","2021-02-15","19~20",51609055,51988173,14875745412
"287","2021-02-15","21~22",51637602,52048279,17675192084
"288","2021-02-15","23~24",51726672,51974419,13803599738
"289","2021-02-16","1~2",52048142,52513785,20113832383
"290","2021-02-16","3~4",52207913,52434711,7965524545
"291","2021-02-16","5~6",52387788,52641663,12839794125
"292","2021-02-16","7~8",52367741,52740753,19960034408
"293","2021-02-16","9~10",51990261,52594158,25792535169
"294","2021-02-16","11~12",52605638,53295844,29846702151
"295","2021-02-16","13~14",53668928,54382810,35336307027
"296","2021-02-16","15~16",53446853,53921980,24242461920
"297","2021-02-16","17~18",53587952,53890768,17745999237
"298","2021-02-16","19~20",53440096,53804806,16293179553
"299","2021-02-16","21~22",53669262,54904792,42804308501
"300","2021-02-16","23~24",54026348,54458401,19068972537
"301","2021-02-17","1~2",53820528,54320716,18960726534
"302","2021-02-17","3~4",53710325,54208487,12934767292
"303","2021-02-17","5~6",53948600,54374527,14764954169
"304","2021-02-17","7~8",54344465,54804931,15572935727
"305","2021-02-17","9~10",54488604,54908826,21385337331
"306","2021-02-17","11~12",54931852,55635701,32083665157
"307","2021-02-17","13~14",55145476,55538655,26123729032
"308","2021-02-17","15~16",55750122,56626752,38708095852
"309","2021-02-17","17~18",56447941,57109952,28191552372
"310","2021-02-17","19~20",56543818,57121162,26331498351
"311","2021-02-17","21~22",55905774,56588477,29144373810
"312","2021-02-17","23~24",56290139,56754685,16472075680
"313","2021-02-18","1~2",56377109,56697812,9782063251
"314","2021-02-18","3~4",56660326,57206531,15504926765
"315","2021-02-18","5~6",57310726,57855311,21124381980
"316","2021-02-18","7~8",57377430,57782612,20821439814
"317","2021-02-18","9~10",57559938,57925735,25295040966
"318","2021-02-18","11~12",57477592,57754737,19995792967
"319","2021-02-18","13~14",57670820,58054882,20205877925
"320","2021-02-18","15~16",57480236,58027834,26470106829
"321","2021-02-18","17~18",56717043,57642931,25728955809
"322","2021-02-18","19~20",57064370,57429870,19295994701
"323","2021-02-18","21~22",56983314,57595923,18072371766
"324","2021-02-18","23~24",57394753,58071584,18332057800
"325","2021-02-19","1~2",57638425,58049917,11435166093
"326","2021-02-19","3~4",57721219,57985504,8682335894
"327","2021-02-19","5~6",57629490,58031349,11161643438
"328","2021-02-19","7~8",57646063,57915744,11892004300
"329","2021-02-19","9~10",57613346,57999909,26225171927
"330","2021-02-19","11~12",57263400,57703765,23426140601
"331","2021-02-19","13~14",57340753,57650407,20175429252
"332","2021-02-19","15~16",57692273,57939227,20758979392
"333","2021-02-19","17~18",57995195,58733523,29237117516
"334","2021-02-19","19~20",58942577,59303011,22486693791
"335","2021-02-19","21~22",58648724,59074561,21141724545
"336","2021-02-19","23~24",59189998,60100025,27772676869
"337","2021-02-20","1~2",60513703,61445250,29556836328
"338","2021-02-20","3~4",61252913,62012340,18515638859
"339","2021-02-20","5~6",61856589,62834644,21419894118
"340","2021-02-20","7~8",62301867,63265695,28847887685
"341","2021-02-20","9~10",63267448,64535773,54917767369
"342","2021-02-20","11~12",63474035,64515014,36193779336
"343","2021-02-20","13~14",63257566,63726882,22649473111
"344","2021-02-20","15~16",63192083,63540982,21433409615
