"","strange_date"
"1","2021-01-31"
"2","2021-01-28"
"3","2021-01-28"
"4","2021-02-12"
"5","2021-03-12"
"6","2021-02-21"
"7","2021-02-15"
"8","2021-03-04"
"9","2021-03-08"
"10","2021-01-24"
"11","2021-02-12"
"12","2021-01-29"
"13","2021-02-01"
"14","2021-02-02"
"15","2021-02-04"
"16","2021-02-13"
"17","2021-02-18"
"18","2021-03-04"
"19","2021-01-31"
"20","2021-02-13"
"21","2021-03-11"
"22","2021-03-17"
"23","2021-01-24"
"24","2021-01-31"
"25","2021-02-08"
