"","date","hours","low","high","volume"
"57","2021-01-27","17~18",34713877,35248702,23168159548
"58","2021-01-27","19~20",34609268,35174854,18509994086
"59","2021-01-27","21~22",34123171,34684925,22801307239
"60","2021-01-27","23~24",33266580,34320221,36766760480
"61","2021-01-28","1~2",34005124,34667444,21707055430
"62","2021-01-28","3~4",33525277,34550729,18701004061
"63","2021-01-28","5~6",34485555,35414961,19741703611
"64","2021-01-28","7~8",34196246,34748144,15189907919
"65","2021-01-28","9~10",34040555,34698313,19871698218
"66","2021-01-28","11~12",34714395,35161837,23854858941
"67","2021-01-28","13~14",34779307,35370626,22747352831
"68","2021-01-28","15~16",35011442,35374734,20207381874
"69","2021-01-28","17~18",34473633,34995081,16888140730
"70","2021-01-28","19~20",34661280,35071132,15402200932
"71","2021-01-28","21~22",34759498,35233471,18305958834
"72","2021-01-28","23~24",35076472,35520047,23204210868
"85","2021-01-30","1~2",38785419,39766761,25217861651
"86","2021-01-30","3~4",37545499,38697219,26015951132
"87","2021-01-30","5~6",37497030,38299729,19689014974
"88","2021-01-30","7~8",37308571,38184027,24388836569
"89","2021-01-30","9~10",37346688,38043488,22574965478
"90","2021-01-30","11~12",36760093,37484338,23284693315
"91","2021-01-30","13~14",36712020,37275476,18148943563
"92","2021-01-30","15~16",36909536,37507513,15727811587
"93","2021-01-30","17~18",37406657,37945024,16677886692
"94","2021-01-30","19~20",37217761,37721771,19638091112
"95","2021-01-30","21~22",37064013,37433703,16866841477
"96","2021-01-30","23~24",37027413,37536889,21258189205
"97","2021-01-31","1~2",36411787,37129225,29705524317
"98","2021-01-31","3~4",36895200,37245401,15969288469
"99","2021-01-31","5~6",36836049,37260876,9654837666
"100","2021-01-31","7~8",36923941,37305249,18886426919
"101","2021-01-31","9~10",36808113,37169167,17421879250
"102","2021-01-31","11~12",36829561,37168594,12945452627
"103","2021-01-31","13~14",36986524,37220893,10270200853
"104","2021-01-31","15~16",36725614,36999798,13408082212
"105","2021-01-31","17~18",36449961,36818043,16290844611
"106","2021-01-31","19~20",36402454,36829804,17637113200
"107","2021-01-31","21~22",36591343,37249207,19410333782
"108","2021-01-31","23~24",36324484,36799451,20862683351
"109","2021-02-01","1~2",35990169,36426384,16016687765
"110","2021-02-01","3~4",35938934,36394524,10956155380
"111","2021-02-01","5~6",36016436,36390740,8002555698
"112","2021-02-01","7~8",36045913,36398488,11984277038
"113","2021-02-01","9~10",35962406,36688740,21563361804
"114","2021-02-01","11~12",36544357,37088351,24496715656
"115","2021-02-01","13~14",36694182,37012710,25233309733
"116","2021-02-01","15~16",36744264,37249058,26034241777
"117","2021-02-01","17~18",37038622,37883302,32257411371
"118","2021-02-01","19~20",37088686,37610550,28539824773
"119","2021-02-01","21~22",36501815,37147190,27847637209
"120","2021-02-01","23~24",36233461,36698314,24822759211
"121","2021-02-02","1~2",36467143,36949230,16536145741
"122","2021-02-02","3~4",36757059,37081156,9523367541
"123","2021-02-02","5~6",36529320,36811147,8431815488
"124","2021-02-02","7~8",36286614,36672466,16245705398
"125","2021-02-02","9~10",36355046,36712862,24045258192
"126","2021-02-02","11~12",36339308,36519852,17824724777
"127","2021-02-02","13~14",36478219,36803191,17047492843
"128","2021-02-02","15~16",36705222,37016099,19888554739
"129","2021-02-02","17~18",37028012,37685383,27882158494
"130","2021-02-02","19~20",37198990,37750349,20170686661
"131","2021-02-02","21~22",37191031,37552761,16209481228
"132","2021-02-02","23~24",37108422,37537145,14710938180
"133","2021-02-03","1~2",37235485,37474761,14870313512
"134","2021-02-03","3~4",37400775,37790521,9804644898
"135","2021-02-03","5~6",37684032,38052263,16175677952
"136","2021-02-03","7~8",37817167,38123455,16683190002
"137","2021-02-03","9~10",38004624,38689908,23484994033
"138","2021-02-03","11~12",38084096,38526744,20029293064
"139","2021-02-03","13~14",38585811,38872401,28096946763
"140","2021-02-03","15~16",38663016,39124752,21987612954
"141","2021-02-03","17~18",38240904,38629794,22849657759
"142","2021-02-03","19~20",38291567,38626863,13131641682
"143","2021-02-03","21~22",38272021,38738528,17333001355
"144","2021-02-03","23~24",38601657,39016133,16901476431
"145","2021-02-04","1~2",38570727,39083370,19991376509
"146","2021-02-04","3~4",38567714,38849938,13104013153
"147","2021-02-04","5~6",38862475,39238072,13131817795
"148","2021-02-04","7~8",39043296,39352592,13362759622
"149","2021-02-04","9~10",39548734,40159110,28921947806
"150","2021-02-04","11~12",39855758,40139367,20801312374
"151","2021-02-04","13~14",40064229,40317647,18723170814
"152","2021-02-04","15~16",40162893,40483687,18755449740
"153","2021-02-04","17~18",38979908,40581861,47150014407
"154","2021-02-04","19~20",39444243,40028353,21582707885
"155","2021-02-04","21~22",39488522,40016166,17230110233
"156","2021-02-04","23~24",39048119,39748163,22110597758
"157","2021-02-05","1~2",39056360,39447374,17690862004
"158","2021-02-05","3~4",39204865,39698031,12000363520
"159","2021-02-05","5~6",39627224,39990539,12488456352
"160","2021-02-05","7~8",39654344,39893114,14508297281
"161","2021-02-05","9~10",39649746,40001975,18557031360
"162","2021-02-05","11~12",39638901,39870893,19213142267
"163","2021-02-05","13~14",39717897,39930883,14420538267
"164","2021-02-05","15~16",39768719,40093565,19557445126
"165","2021-02-05","17~18",39836680,40074504,16280661265
"166","2021-02-05","19~20",39785201,39990874,15519848053
"167","2021-02-05","21~22",40005814,40595717,24913383162
"168","2021-02-05","23~24",40189599,40544404,22999779424
"169","2021-02-06","1~2",39937332,40187673,15958495467
"170","2021-02-06","3~4",39808718,40039440,11108444902
