"","date","hours","low","high","volume","fluctuation"
"164","2021-02-05","15~16",39768719,40093565,19557445126,21.1027071692921
"165","2021-02-05","17~18",39836680,40074504,16280661265,15.4495675791905
"166","2021-02-05","19~20",39785201,39990874,15519848053,13.360968248431
"167","2021-02-05","21~22",40005814,40595717,24913383162,38.3213900349302
"168","2021-02-05","23~24",40189599,40544404,22999779424,23.048909382294
"169","2021-02-06","1~2",39937332,40187673,15958495467,7.0069260082877
"170","2021-02-06","3~4",39808718,40039440,11108444902,6.45779949143031
"171","2021-02-06","5~6",39953921,40141453,9707319591,5.24893184970184
"172","2021-02-06","7~8",40146028,40384543,13662408051,6.67592187003623
"173","2021-02-06","9~10",40642286,41567838,37116257323,25.9057620638357
"174","2021-02-06","11~12",41517095,42177032,32211172497,18.4713240305478
"175","2021-02-06","13~14",41708151,42077162,17719225637,10.3284430965933
"176","2021-02-06","15~16",41966836,42264775,16323230782,8.33917148203142
"177","2021-02-06","17~18",42144431,42536792,22446133350,10.9819985361478
"178","2021-02-06","19~20",42663612,43211591,36957347271,15.337672642897
"179","2021-02-06","21~22",42670472,43110558,24000929661,12.317798679734
"180","2021-02-06","23~24",42889272,43381483,23645820679,13.776752739125
"181","2021-02-07","1~2",42749256,43332786,23581782087,23.520065393303
"182","2021-02-07","3~4",42553426,42954125,17891011791,16.150783478195
"183","2021-02-07","5~6",42241576,42654632,17532749594,16.6488511834801
"184","2021-02-07","7~8",41813464,42471859,27894314541,26.5376132411765
"185","2021-02-07","9~10",41364124,42354335,29696556821,39.9119624923619
"186","2021-02-07","11~12",41458862,41827627,19573617423,14.8636349712292
"187","2021-02-07","13~14",41351742,41759061,16735807281,16.4176126607626
"188","2021-02-07","15~16",41598934,42116200,15914399094,20.8491939501521
"189","2021-02-07","17~18",42270741,42617582,16294666026,13.9799547599585
"190","2021-02-07","19~20",41972610,42406468,15253900109,17.4873074758927
"191","2021-02-07","21~22",41431477,42066162,21258540377,25.5819455797448
"192","2021-02-07","23~24",40851798,41473919,24536862680,25.0755344241891
"205","2021-02-09","1~2",44949242,45883829,31265029512,15.1307779782435
"206","2021-02-09","3~4",44794352,45399788,14408304843,9.80188863747926
"207","2021-02-09","5~6",45725973,46706936,25862152945,15.8815962108093
"208","2021-02-09","7~8",47003801,48438296,55806542386,23.2241892471224
"209","2021-02-09","9~10",48649841,49587677,49280824034,15.183378643191
"210","2021-02-09","11~12",48594163,49371577,32805178040,12.5861783131781
"211","2021-02-09","13~14",49175768,49730478,29805787307,8.98064476855707
"212","2021-02-09","15~16",49941944,50971080,36085660220,16.661507516601
"213","2021-02-09","17~18",49010777,50130375,35147438809,18.1260693363865
"214","2021-02-09","19~20",49003165,49708461,23219587131,11.4186022113974
"215","2021-02-09","21~22",48507251,49679672,30689187200,18.9812632189729
"216","2021-02-09","23~24",49245425,49839762,22201555541,9.6221980310611
"217","2021-02-10","1~2",49419924,50074277,22277181408,29.9117074988058
"218","2021-02-10","3~4",49449866,49966939,12161669041,23.6363802588664
"219","2021-02-10","5~6",49468805,49981040,14893527541,23.415226170967
"220","2021-02-10","7~8",48911769,49643335,22144205335,33.4412590880937
"221","2021-02-10","9~10",48411432,49032048,28508339945,28.3695257163623
