"","date","hours","low","high","volume","fluctuation"
"601","2021-03-14","1~2",68481190,68886618,20614262064,16.1159569152516
"602","2021-03-14","3~4",68708147,69235427,11256496985,20.9596321967744
"603","2021-03-14","5~6",69146663,70089544,23275558477,37.4799707277478
"604","2021-03-14","7~8",69915474,70516744,21931366014,23.9007700860161
"605","2021-03-14","9~10",70306113,70996883,28542315597,27.458437893654
"606","2021-03-14","11~12",69915891,70484250,25904272091,22.5925420947628
"607","2021-03-14","13~14",70415752,70906056,18612508283,19.4898185112412
"608","2021-03-14","15~16",70194562,70608945,17055685825,16.4719224484069
"609","2021-03-14","17~18",70051497,70354255,15752935148,12.0347753084339
"610","2021-03-14","19~20",69909160,70460702,17223368278,21.9240583012315
"611","2021-03-14","21~22",69132022,69954246,27341126146,32.6837972677906
"612","2021-03-14","23~24",68999917,69738489,16724986769,29.3585902572373
"613","2021-03-15","1~2",68710204,69298637,17189764592,9.64030759441287
"614","2021-03-15","3~4",68979576,69421294,8941754759,7.2366733170792
"615","2021-03-15","5~6",69058865,69464285,9965879362,6.64200258130809
"616","2021-03-15","7~8",69324158,69666524,12538668074,5.60898785395917
"617","2021-03-15","9~10",68508061,69668624,32462659813,19.0135228695443
"618","2021-03-15","11~12",68791492,69420229,24172136319,10.300608694598
"619","2021-03-15","13~14",69132572,69853103,21350327973,11.8044713184167
"620","2021-03-15","15~16",66814359,68295588,52052965743,24.2669992637472
"621","2021-03-15","17~18",65305986,67009386,44398697682,27.906830440038
"622","2021-03-15","19~20",63749221,65953274,44862594521,36.1090368391787
"623","2021-03-15","21~22",64278469,65509937,32091878080,20.1751606600521
"624","2021-03-15","23~24",65330108,66234954,29397961890,14.8241070191069
"625","2021-03-16","1~2",64733602,65534899,23918936959,20.7837255012831
"626","2021-03-16","3~4",64437582,65034076,18501494400,15.4716260751786
"627","2021-03-16","5~6",64907929,65538737,15153507564,16.3616490714597
"628","2021-03-16","7~8",65121540,66077247,19526469057,24.7887511717313
"629","2021-03-16","9~10",63500123,65184625,36037568230,43.691948396615
"630","2021-03-16","11~12",62221841,63288188,33597068844,27.6584878479724
"631","2021-03-16","13~14",62729119,63483739,32428162118,19.5730358877898
"632","2021-03-16","15~16",62674539,64017017,36975664301,34.8206648015799
"633","2021-03-16","17~18",64003513,65003749,31873598990,25.9437268085385
"634","2021-03-16","19~20",64147551,65107003,28228796702,24.8858875044548
"635","2021-03-16","21~22",63165069,64131876,22507497681,25.0766585931547
"636","2021-03-16","23~24",63643042,64396349,19903142985,19.5389798117241
"649","2021-03-18","1~2",63453933,64321529,19721251786,16.7372414599356
"650","2021-03-18","3~4",64175171,65530926,28567577795,26.1545682501014
"651","2021-03-18","5~6",66649633,67311280,36752278149,12.7641731868773
"652","2021-03-18","7~8",67252826,68186162,33220968818,18.005465672099
"653","2021-03-18","9~10",67859990,68637559,31268452023,15.0004842170326
"654","2021-03-18","11~12",68137247,68602406,21468664339,8.97362193954579
"655","2021-03-18","13~14",67743248,68303317,21200373771,10.8045796513869
"656","2021-03-18","15~16",67916320,68258577,18546127848,6.6026561329849
"657","2021-03-18","17~18",67252928,67957984,23950945571,13.6015985721192
"658","2021-03-18","19~20",67453153,67923054,18351517931,9.06510230483449
"659","2021-03-18","21~22",67362714,67710721,11316515983,6.71358234563991
